,firstname,lastname,current,sigma,mu
5898,Tony,MUSSELBROOK,"N(mu=1.393, sigma=1.007)",1.006844109022019,1.393301995156722
6328,Kevin,ARC,"N(mu=1.391, sigma=0.713)",0.7127023484768048,1.3914852286639878
1709,Carlo,TRAVERSI,"N(mu=1.386, sigma=0.290)",0.2895320475160876,1.386150557558834
5285,Faycal,NATECH,"N(mu=1.382, sigma=0.462)",0.4622391111909701,1.3820722239853374
4478,Jean Luc,DANIS,"N(mu=1.376, sigma=0.321)",0.32083583959853745,1.3760624543107962
3890,Mathias,CONRAD,"N(mu=1.367, sigma=0.203)",0.20338521473594523,1.3669060556220218
857,Michael,PICCOLRUAZ,"N(mu=1.361, sigma=0.182)",0.1821253190824248,1.360766840240647
648,William,BOSI,"N(mu=1.359, sigma=0.325)",0.3247957653505892,1.3588341078530966
1926,Zach,GALLA,"N(mu=1.349, sigma=0.240)",0.23969740127584044,1.3492513097880579
11390,Satone,YOSHIDA,"N(mu=1.330, sigma=0.456)",0.4562025428497809,1.330097043922989
4299,Sascha,LEHMANN,"N(mu=1.323, sigma=0.231)",0.23051577098054984,1.3232865322399858
1949,Matt,FULTZ,"N(mu=1.319, sigma=0.717)",0.7167650532056512,1.318937122948199
4690,Fabien,DUGIT,"N(mu=1.315, sigma=0.509)",0.508593731683842,1.314980488623465
3579,Nicky,DE LEEUW,"N(mu=1.310, sigma=0.190)",0.19044489649147212,1.3103936363222999
1129,Domen,SKOFIC,"N(mu=1.310, sigma=0.230)",0.23047901978041654,1.3102311785191245
13029,Dillon,COUNTRYMAN,"N(mu=1.307, sigma=0.416)",0.4158700111790902,1.3069313891260943
1476,Valeriy,KRYUKOV,"N(mu=1.291, sigma=0.389)",0.3890705956740547,1.2913077489134694
320,Nicolas,COLLIN,"N(mu=1.289, sigma=0.217)",0.2167608943684073,1.2885766254490998
4472,Cristian,BRENNA,"N(mu=1.286, sigma=0.520)",0.5198094162774513,1.2857322995586697
797,Jonatan,FLOR VAZQUEZ,"N(mu=1.285, sigma=0.255)",0.2554800232374033,1.2846640554752267
4150,Rolands,RUGENS,"N(mu=1.284, sigma=0.186)",0.18611036347542526,1.2842985384764098
2480,Thomas,FARRELL,"N(mu=1.279, sigma=0.271)",0.27142107186606734,1.2790711144069355
4592,Tomaz,VALJAVEC,"N(mu=1.278, sigma=0.589)",0.589188902662095,1.2783096151717526
634,David,BARRANS,"N(mu=1.277, sigma=0.178)",0.1775673698169494,1.2768927132276948
845,Flavio,CRESPI,"N(mu=1.277, sigma=0.511)",0.5114788177240045,1.2767604846721075
