,firstname,lastname,current,sigma,mu
1751,Claire,BUHRFEIND,"N(mu=1.122, sigma=0.346)",0.34569753849433976,1.1220206092985454
4764,Manuela,SIGRIST,"N(mu=1.121, sigma=1.012)",1.012070792254146,1.12071879343345
13020,Adriene Akiko,CLARK,"N(mu=1.115, sigma=0.420)",0.42015776582399816,1.114606783653328
4760,Manon,CHAPET,"N(mu=1.111, sigma=0.293)",0.2930528592047455,1.1113979185560912
99,Evgeniya,LAPSHINA,"N(mu=1.110, sigma=0.416)",0.4159344282807105,1.1103672043313935
4488,Isabelle,ROCHE,"N(mu=1.106, sigma=1.058)",1.0575885655548507,1.1055947668537416
5988,Eva,PEPIN-HELIE,"N(mu=1.103, sigma=1.035)",1.0354243253234223,1.1034681816951308
3109,Johanna,HOLFELD,"N(mu=1.098, sigma=0.326)",0.32619986762478476,1.097866391342741
3856,Primula,TEILMANN AALUND,"N(mu=1.084, sigma=0.998)",0.9984887646379611,1.0843559598186876
6167,Nina,WILLIAMS,"N(mu=1.069, sigma=0.733)",0.7327477800939746,1.0689966556566817
4925,Jessica,FAURE,"N(mu=1.063, sigma=1.012)",1.011515199944889,1.0631867847627952
4920,Kinga,OCIEPKA,"N(mu=1.047, sigma=1.036)",1.0361941376120014,1.0470614434286114
5198,Stefania,DE GRANDI,"N(mu=1.034, sigma=0.282)",0.2815530276830481,1.0342473218353772
669,Hannah,SLANEY,"N(mu=1.026, sigma=0.313)",0.3132379517394039,1.0263118109635718
6238,Anna,VOLLENWYDER,"N(mu=1.012, sigma=0.329)",0.32863206806792566,1.011581589372972
6416,Bettina,ASCHAUER,"N(mu=1.011, sigma=1.001)",1.0013679701340343,1.010929841013841
4830,Francesca,METCALF,"N(mu=0.999, sigma=0.351)",0.35123478809475034,0.9992528529945663
1792,Lily,CANAVAN,"N(mu=0.982, sigma=0.592)",0.5923323596601545,0.9823814901158174
3881,Liv,EGLI,"N(mu=0.976, sigma=0.587)",0.5866165155494505,0.9761581565985847
1870,Sienna,KOPF,"N(mu=0.960, sigma=0.301)",0.3005495761923499,0.9595622471223019
3179,Francis,GUILLEN,"N(mu=0.953, sigma=1.001)",1.0010328771675359,0.9530959453415465
694,Holly,TOOTHILL,"N(mu=0.948, sigma=0.257)",0.2568360842152973,0.9478698863245986
